QID,PageTitle,description,occupation_labels,cluster,topClusterWords,umap_x,umap_y
Q21707412,Helen S. Mitchell,nutritionist,['biochemist'],35,"['nutritionist', 'endocrinologist', 'scientist', 'researcher', 'nutritional']",12.542077,6.55362
Q18393716,Rebecca Johnson (geneticist),Australian geneticist,"['geneticist', 'mammalogist']",34,"['geneticist', 'australian', 'researcher', 'canadian', 'molecular']",14.780925,0.93084866
Q45897973,Corinna Löckenhoff,researcher,['researcher'],5,"['researcher', 'scientist', 'university', 'academic', 'ai']",9.295399,22.077454
Q111173570,Ilke Arslan,Turkish-American microscopist,['microscopist'],19,"['polish', 'scientist', 'swedish', 'born', 'politician']",5.5871997,0.4941809
Q13403964,"Bend, Not Break",non-fiction work by Ping Fu,[],59,"['writer', 'author', 'librarian', 'activist', 'naturalist']",5.989268,1.9012481
Q95690125,Tanya Zelevinsky,physicist,['researcher'],3,"['physicist', 'physics', 'researcher', 'particle', 'scientist']",-4.5109344,18.817562
Q88407022,Aurora E. Clark,computational chemist,['researcher'],30,"['chemist', 'researcher', 'inorganic', 'academic', 'chemistry']",7.314,8.15303
Q2901389,Naomi Feinbrun-Dothan,botanist and university teacher (1900-1995),"['botanist', 'botanical collector', 'university teacher', 'scientific collector']",10,"['botanist', 'botanical', 'collector', 'plant', 'australian']",5.3925996,-0.036689904
Q54371437,Almah Jane Frisby,physician,['physician'],25,"['physician', 'medical', 'surgeon', 'virologist', 'oncologist']",-6.028131,9.33521
Q58356276,Chris Beasley (researcher),Australian political scientist,"['political scientist', 'academic', 'non-fiction writer', 'university teacher']",23,"['scientist', 'political', 'politician', 'social', 'australian']",8.618236,0.22693346
Q57379289,Eileen Alice Willa,"New Zealand museum curator, botanist and author (1905-1999)","['botanist', 'curator', 'non-fiction writer', 'botanical collector', 'scientific collector']",10,"['botanist', 'botanical', 'collector', 'plant', 'australian']",7.3754954,0.53451896
Q64850738,Sue Stott,New Zealand paediatric orthopaedic surgeon,['professor'],48,"['pediatrician', 'pediatric', 'obstetrician', 'gynecologist', 'paediatrician']",9.522871,1.4815992
Q1851179,Ellen Churchill Semple,geographer (1863–1932),"['geographer', 'geopolitical analyst', 'writer', 'university teacher']",29,"['oceanographer', 'geographer', 'researcher', 'scientist', 'climate']",0.67132086,8.662793
Q62056153,Lisa Marie Stevens,curator of mammals and zookeeper,"['curator', 'zookeeper']",4,"['zoologist', 'herpetologist', 'biologist', 'australian', 'scientist']",8.847071,14.007812
