QID,PageTitle,description,occupation_labels,cluster,topClusterWords,umap_x,umap_y
Q21707412,Helen S. Mitchell,American nutritionist,['biochemist'],17,"['american', 'nutritionist', 'scientist', 'nutritional', 'nutrition']",4.525849,7.6437035
Q18393716,Rebecca Johnson (geneticist),Australian geneticist,"['geneticist', 'mammalogist']",42,"['geneticist', 'american', 'british', 'australian', 'researcher']",0.021539615,0.3713401
Q45897973,Corinna Löckenhoff,researcher,['researcher'],3,"['researcher', 'scientist', 'author', 'ai', 'university']",14.483897,22.544605
Q111173570,Ilke Arslan,Turkish-American microscopist,['microscopist'],59,"['american', 'ophthalmologist', 'dermatologist', 'gerontologist', 'arachnologist']",9.630461,6.3035655
Q13403964,"Bend, Not Break",non-fiction work by Ping Fu,[],66,"['american', 'writer', 'author', 'activist', 'educator']",13.249959,7.5929604
Q95690125,Tanya Zelevinsky,American physicist,['researcher'],44,"['physicist', 'american', 'british', 'space', 'physics']",-4.6816235,-4.8128314
Q88407022,Aurora E. Clark,American computational chemist,['researcher'],11,"['chemist', 'american', 'british', 'canadian', 'researcher']",4.911796,10.947202
Q2901389,Naomi Feinbrun-Dothan,botanist and university teacher (1900-1995),"['botanist', 'botanical collector', 'university teacher', 'scientific collector']",62,"['botanist', 'american', 'canadian', 'argentinian', 'russian']",10.691583,11.788117
Q54371437,Almah Jane Frisby,American physician,['physician'],23,"['american', 'physician', 'medical', 'doctor', 'scientist']",-6.310612,2.018089
Q58356276,Chris Beasley (researcher),Australian political scientist,"['political scientist', 'academic', 'non-fiction writer', 'university teacher']",13,"['australian', 'scientist', 'biologist', 'physicist', 'archaeologist']",6.7258263,2.5328226
Q57379289,Eileen Alice Willa,"New Zealand museum curator, botanist and author (1905-1999)","['botanist', 'curator', 'non-fiction writer', 'botanical collector', 'scientific collector']",75,"['botanist', 'australian', 'african', 'south', 'zealand']",7.702479,1.8980869
Q64850738,Sue Stott,New Zealand paediatric orthopaedic surgeon,['professor'],53,"['american', 'pediatrician', 'pediatric', 'paediatrician', 'physician']",7.194478,3.6387944
Q1851179,Ellen Churchill Semple,American geographer (1863–1932),"['geographer', 'geopolitical analyst', 'writer', 'university teacher']",98,"['american', 'geographer', 'geophysicist', 'british', 'geoscientist']",12.382689,0.31735343
Q62056153,Lisa Marie Stevens,curator of mammals and zookeeper,"['curator', 'zookeeper']",76,"['zoologist', 'american', 'british', 'australian', 'german']",1.1594187,10.8032675
Q22003709,Joan D'Arcy Cooper,American psychologist,['psychologist'],73,"['american', 'psychologist', 'clinical', 'psychiatrist', 'cognitive']",-9.653596,11.10328
Q12723258,Cabiria Andreian Cazacu,Romanian mathematician,"['mathematician', 'university teacher']",2,"['mathematician', 'american', 'russian', 'polish', 'born']",9.27079,7.790075
Q92977789,Surita Bhatia,American chemist,"['researcher', 'chemist']",11,"['chemist', 'american', 'british', 'canadian', 'researcher']",2.988436,-10.226969
Q57073244,Natacha Aguilar de Soto,Spanish marine biologist,"['marine biologist', 'university teacher']",40,"['marine', 'american', 'biologist', 'oceanographer', 'ecologist']",16.439363,-0.19401562
Q59191843,Isabel de Urquiola,19th-century Spanish explorer,['explorer'],64,"['spanish', 'scientist', 'biologist', 'researcher', 'brazilian']",13.298492,3.689087
Q5590971,Grace Alele-Williams,Nigerian mathematician (1932–2022),"['mathematician', 'university teacher', 'vice-chancellor']",20,"['mathematician', 'american', 'british', 'mathematics', 'canadian']",11.251453,-5.9494014
Q78171707,Ann-Marie Holmes,Irish Engineer.,['engineer'],54,"['engineer', 'british', 'electrical', 'engineering', 'chemical']",16.07363,6.252508
Q6681392,Lorna Smith Benjamin,American psychologist,['psychologist'],73,"['american', 'psychologist', 'clinical', 'psychiatrist', 'cognitive']",-9.642295,11.104923
Q30348098,Lucia Caporaso,Italian mathematician (1965-),"['mathematician', 'university teacher']",84,"['italian', 'mathematician', 'physicist', 'scientist', 'american']",11.425765,1.722327
Q15994402,Emily Dix,British paleobotanist (1904–1972),['paleobotanist'],67,"['paleontologist', 'american', 'geologist', 'paleoclimatologist', 'paleobotanist']",9.595718,9.648875
Q62768406,Annette Herscovics,Scientist at McGill University,['scientist'],6,"['canadian', 'scientist', 'biologist', 'researcher', 'physicist']",13.944958,6.7375546
Q56979991,Emma Kowal,Australian cultural and medical anthropologist,"['academic', 'anthropologist']",74,"['australian', 'researcher', 'medical', 'physician', 'health']",6.5095534,2.314013
Q62032117,Alejandra Melfo,Uruguayan/Venezuelan physicist,"['physicist', 'astrophysicist', 'university teacher']",71,"['physicist', 'american', 'nuclear', 'theoretical', 'particle']",13.372294,4.2933545
Q20984922,Ilse Ipsen,German American mathematician,['mathematician'],2,"['mathematician', 'american', 'russian', 'polish', 'born']",20.542156,12.669923
Q29109891,Mary Elliott Hill,chemist (1907-1969),['chemist'],46,"['chemist', 'german', 'british', 'american', 'professor']",5.4130993,11.4253235
Q16192889,Sigrid Quack,German social scientist,['sociologist'],88,"['german', 'mathematician', 'scientist', 'physicist', 'biologist']",11.160488,6.9669533
Q56686058,Statue of Rachel Carson,statue of Rachel Carson,[],65,"['american', 'women', 'director', 'activist', 'organization']",13.767098,6.715096
Q117772428,Janet Gilsdorf,American scientist and writer,['physician'],48,"['american', 'scientist', 'planetary', 'astronaut', 'science']",12.8684,7.9702773
Q5127082,Clarita Carlos,Filipina political scientist and academic,['political psychologist'],57,"['scientist', 'american', 'political', 'politician', 'academic']",23.639212,0.3648879
Q21506620,Helen Foot Buell,American botanist and ecologist (1902-1995),"['ecologist', 'botanist', 'editor']",77,"['botanist', 'american', 'botanical', 'collector', 'author']",10.769811,11.915738
Q16299902,Miia Kivipelto,Finnish neurologist,"['professor', 'neurologist']",36,"['american', 'neurologist', 'neurobiologist', 'neuroscientist', 'researcher']",2.443548,-1.2092965
Q24044857,Hilda Kincaid,(1886-1967) medical practitioner,"['general practitioner', 'teacher']",58,"['physician', 'american', 'doctor', 'medical', 'british']",6.7229342,5.3016315
Q56558562,Melinda Duer,"chemist, biochemist","['chemist', 'professor', 'biochemist', 'academic']",5,"['biochemist', 'american', 'british', 'german', 'geochemist']",4.8598466,11.109597
Q120488949,Marguerite Yon,French archaeologist and Assyriologist,"['researcher', 'archaeologist']",56,"['archaeologist', 'historian', 'french', 'german', 'classical']",11.574901,6.338339
Q96625459,Alanna Connors,astrophysicist,['astrophysicist'],39,"['astrophysicist', 'american', 'british', 'italian', 'australian']",15.945524,4.32472
Q39052372,Anna Maria Marconi,fictional scientist appearing in American comic books published by Marvel Comics,[],48,"['american', 'scientist', 'planetary', 'astronaut', 'science']",12.867403,7.982275
Q42049907,Jessica Grahn,American music neuroscientist,['researcher'],1,"['neuroscientist', 'american', 'cognitive', 'researcher', 'canadian']",1.5508668,-2.5852036
Q21264732,Stéphanie P. Lacour,French neurotechnologist,"['neurotechnologist', 'university teacher', 'geomicrobiologist']",36,"['american', 'neurologist', 'neurobiologist', 'neuroscientist', 'researcher']",2.356076,-1.3553715
Q24049147,Danielle N. Lee,American biologist,"['zoologist', 'ecologist', 'mammalogist']",18,"['biologist', 'american', 'molecular', 'evolutionary', 'developmental']",2.9826884,15.19391
Q94575673,Mary Graustein,American mathematician and academic (1884-1972),"['mathematician', 'university teacher']",20,"['mathematician', 'american', 'british', 'mathematics', 'canadian']",9.623151,-5.82011
Q22808800,Anita Kurmann,Swiss endocrinologist and thyroid surgeon (1976-2015),"['endocrinologist', 'surgeon']",61,"['american', 'physiologist', 'pathologist', 'cardiologist', 'endocrinologist']",4.838201,6.6928473
Q124616115,Brenda Swann Holmes,American chemist,"['scientist', 'chemist']",11,"['chemist', 'american', 'british', 'canadian', 'researcher']",2.9875393,-10.227635
Q20831455,Eugenia Cheng,English mathematician and pianist,"['mathematician', 'pianist', 'teacher']",2,"['mathematician', 'american', 'russian', 'polish', 'born']",9.411397,-5.412115
Q6128616,Silvia Torres-Peimbert,Mexican astronomer,"['astrophysicist', 'astronomer', 'university teacher', 'physicist']",7,"['astronomer', 'american', 'british', 'french', 'german']",13.386089,3.32327
Q5363372,Elizabeth Povinelli,Professor of Anthropology and Gender Studies,"['journalist', 'university teacher', 'anthropologist']",15,"['anthropologist', 'american', 'cultural', 'professor', 'academic']",9.306594,5.1177845
Q116734298,Karen Carroll (pathologist),American infectious disease pathologist and medical microbiologist,"['infectious disease physician', 'pathologist', 'medical microbiologist', 'physician-scientist', 'microbiologist', 'university teacher']",27,"['microbiologist', 'american', 'bacteriologist', 'researcher', 'british']",18.724163,-4.119843
Q81667773,Cassie Kozyrkov,"Russian, later American data scientist","['computer scientist', 'data scientist', 'statistician']",69,"['russian', 'soviet', 'scientist', 'ukrainian', 'physicist']",17.773066,6.687449
Q43173237,Psyche Cattell,American child psychologist,['psychologist'],33,"['psychologist', 'american', 'developmental', 'academic', 'canadian']",-2.0347495,5.8239446
Q56850022,Charmian O'Connor,New Zealand physical organic chemist,"['academic', 'chemist']",46,"['chemist', 'german', 'british', 'american', 'professor']",7.7493606,2.2778444
Q28468953,Francine Laden,Professor of Environmental Epidemiology at the Harvard T.H. Chan School of Public Health,['researcher'],52,"['epidemiologist', 'american', 'physician', 'british', 'researcher']",5.485513,4.752792
Q6179303,Jenny Hempel,Danish botanist (1882-1975),"['botanist', 'science writer']",19,"['botanist', 'british', 'english', 'irish', 'german']",10.058411,8.153122
